ID,firstName,lastName,email,phone,creditCrdNo,createdAt,createdBy,modifiedAt,modifiedBy
USR001,Anil,Reddy,anil.reddy1@example.com,9876543210,4111111111111111,2025-01-01T09:00:00Z,admin,2025-01-05T10:00:00Z,system
USR002,Rahul,Sharma,rahul.sharma@example.com,9123456780,5500000000000004,2025-01-02T09:10:00Z,admin,2025-01-06T10:10:00Z,system
USR003,Priya,Verma,priya.verma@example.com,9988776655,340000000000009,2025-01-03T09:20:00Z,admin,2025-01-07T10:20:00Z,system
USR004,Sneha,Iyer,sneha.iyer@example.com,9012345678,30000000000004,2025-01-04T09:30:00Z,admin,2025-01-08T10:30:00Z,system
USR005,Amit,Patel,amit.patel@example.com,8899776655,6011000000000004,2025-01-05T09:40:00Z,admin,2025-01-09T10:40:00Z,system
USR006,Kavya,Nair,kavya.nair@example.com,9345678901,3530111333300000,2025-01-06T09:50:00Z,admin,2025-01-10T10:50:00Z,system
USR007,Vikram,Singh,vikram.singh@example.com,9876501234,4000000000000002,2025-01-07T10:00:00Z,admin,2025-01-11T11:00:00Z,system
USR008,Pooja,Mehta,pooja.mehta@example.com,9765432109,5200828282828210,2025-01-08T10:10:00Z,admin,2025-01-12T11:10:00Z,system
USR009,Arjun,Malhotra,arjun.malhotra@example.com,9654321098,4024007100000006,2025-01-09T10:20:00Z,admin,2025-01-13T11:20:00Z,system
USR010,Neha,Kulkarni,neha.kulkarni@example.com,9543210987,2223000048400011,2025-01-10T10:30:00Z,admin,2025-01-14T11:30:00Z,system
USR011,Suresh,Kumar,suresh.kumar@example.com,9432109876,5105105105105100,2025-01-11T10:40:00Z,admin,2025-01-15T11:40:00Z,system
USR012,Divya,Chopra,divya.chopra@example.com,9321098765,4012888888881881,2025-01-12T10:50:00Z,admin,2025-01-16T11:50:00Z,system
USR013,Karthik,Rao,karthik.rao@example.com,9210987654,4222222222222,2025-01-13T11:00:00Z,admin,2025-01-17T12:00:00Z,system
USR014,Meena,Das,meena.das@example.com,9109876543,5555555555554444,2025-01-14T11:10:00Z,admin,2025-01-18T12:10:00Z,system
USR015,Rohan,Bansal,rohan.bansal@example.com,9098765432,378282246310005,2025-01-15T11:20:00Z,admin,2025-01-19T12:20:00Z,system
USR016,Nikita,Jain,nikita.jain@example.com,9987654321,371449635398431,2025-01-16T11:30:00Z,admin,2025-01-20T12:30:00Z,system
USR017,Abhishek,Mishra,abhishek.mishra@example.com,9876543201,6011111111111117,2025-01-17T11:40:00Z,admin,2025-01-21T12:40:00Z,system
USR018,Swati,Pandey,swati.pandey@example.com,9765432198,30569309025904,2025-01-18T11:50:00Z,admin,2025-01-22T12:50:00Z,system
USR019,Manoj,Yadav,manoj.yadav@example.com,9654321987,3566002020360505,2025-01-19T12:00:00Z,admin,2025-01-23T13:00:00Z,system
USR020,Aishwarya,Joshi,aishwarya.joshi@example.com,9543219876,4917610000000000,2025-01-20T12:10:00Z,admin,2025-01-24T13:10:00Z,system
