CustomerID,ID,Name,Email,Phone,Address,createdAt,createdBy,modifiedAt,modifiedBy
1,1001,John Doe,john.doe@example.com,123-456-7890,123 Main St,2024-06-01,admin,2024-06-01,admin
2,1002,Jane Smith,jane.smith@example.com,987-654-3210,456 Elm St,2024-06-02,admin,2024-06-02,admin
3,1003,Bob Johnson,bob.johnson@example.com,555-123-4567,789 Oak St,2024-06-03,admin,2024-06-03,admin
4,1004,Alice Williams,alice.williams@example.com,444-555-6666,321 Pine St,2024-06-04,admin,2024-06-04,admin
5,1005,Michael Brown,michael.brown@example.com,333-222-1111,654 Maple St,2024-06-05,admin,2024-06-05,admin
6,1006,Emily Davis,emily.davis@example.com,222-333-4444,987 Cedar St,2024-06-06,admin,2024-06-06,admin
7,1007,David Wilson,david.wilson@example.com,111-222-3333,321 Birch St,2024-06-07,admin,2024-06-07,admin
8,1008,Sarah Miller,sarah.miller@example.com,666-777-8888,654 Spruce St,2024-06-08,admin,2024-06-08,admin
9,1009,Chris Moore,chris.moore@example.com,555-666-7777,987 Walnut St,2024-06-09,admin,2024-06-09,admin
10,1010,Jessica Taylor,jessica.taylor@example.com,444-555-6666,123 Cherry St,2024-06-10,admin,2024-06-10,admin
